price,artist,source_artwork
38837.23828125,Albrecht Durer,Agony in the Garden 2
25729.181640625,Giovanni Bellini,Agony in the Garden c. 1465
629450.75,Sandro Botticelli,Agony in the Garden c. 1500
348702.46875,Vincent Van Gogh,Agostina Segatori Sitting In The Cafe Du Tambourin
18326.96484375,Paul Gauguin,Aita Parari Te Tamari Vahine Judith Aka Portrait Of Annah The Javanese
34119.125,Albrecht Durer,Albert Durer the Elder at Age 70
1946294.25,Franz Xavier Winterhalter,"Albert Edward, Prince of Wales"
119705.4140625,Franz Xavier Winterhalter,"Alexandra, Princess of Wales"
226549.109375,William-Adolphe Bouguereau,Algerian Girl Selling Pomegranates
46855.54296875,Pierre Auguste Renoir,Algerian Landscape Aka The Ravine Of The Wild Women
4461.50390625,John Tenniel,"Alice Meets the Caterpillar, illustration from Alice in Wonderland by Lewis Carroll 1832-9"
11380.1015625,John Tenniel,"Alice Upsets the Jury-Box, illustration from Alice in Wonderland by Lewis Carroll 1832-9"
4231451.5,John Tenniel,"Alice and Humpty Dumpty, cover illustration for Alice Through the Looking-Glass by Lewis Carroll 1832-98, published in London. 1898"
71631.6796875,John Tenniel,"Alice and the Cheshire Cat, illustration from Alice in Wonderland by Lewis Carroll 1832-9 2"
1920820.0,Arthur Rackham,Alice in Wonderland
18288.361328125,John Tenniel,"Alice in the Looking Glass House, illustration from Through the Looking Glass by Lewis Carroll 1832-98 first published 1871"
54118.765625,John Tenniel,"Alice with the Duchess, illustration from Alice in Wonderland by Lewis Carroll 1832-9"
3931.537353515625,Francisco De Goya y Lucientes,All Will Fall
28342.212890625,Sandro Botticelli,Allegory Of Spring La Primavera
3253.45849609375,Jacques Louis David,Allegory Of The French People Offering The Crown And Sceptre To The King
3931.537353515625,Lorenzo Lippi,Allegory of Innocence
1443.6446533203125,Angelica Kauffmann,Allegory of Sculpture
160681.5625,Louis de Caullery,Allegory of Summer
3931.537353515625,Tiziano Vecellio,Allegory of Time Governed by Prudence 1565-70
3931.537353515625,Correggio (Antonio Allegri),Allegory of Virtue
18209.23046875,Giovanni Bellini,Allegory of Wisdom
3005308.25,Jan Vermeer Van Delft,Allegory of the Faith
3277086.25,Annibale Carracci,Allegory river
103120.4921875,Leonardo Da Vinci,Allegory with wolf and eagle
18136.59375,Albrecht Durer,Alliance Coat of Arms of the Durer and Holper Families
